Date,Close
11/17/2022 3:30,1.187042236
11/17/2022 3:35,1.186929584
11/17/2022 3:40,1.187338233
11/17/2022 3:45,1.187563777
11/17/2022 3:50,1.187451005
11/17/2022 3:55,1.187973022
11/17/2022 4:00,1.188156486
11/17/2022 4:05,1.187944651
11/17/2022 4:10,1.18809998
11/17/2022 4:15,1.188650727
11/17/2022 4:20,1.18852365
11/17/2022 4:25,1.188650727
11/17/2022 4:30,1.188650727
11/17/2022 4:35,1.188876867
11/17/2022 4:40,1.188594222
11/17/2022 4:45,1.188806176
11/17/2022 4:50,1.188876867
11/17/2022 4:55,1.188580155
11/17/2022 5:00,1.188792109
11/17/2022 5:05,1.188947558
11/17/2022 5:10,1.188735604
11/17/2022 5:15,1.189484954
11/17/2022 5:20,1.19022119
11/17/2022 5:25,1.190136194
11/17/2022 5:30,1.189626455
11/17/2022 5:35,1.189598203
11/17/2022 5:40,1.189782143
11/17/2022 5:45,1.19000864
11/17/2022 5:50,1.189626455
11/17/2022 5:55,1.189881206
11/17/2022 6:00,1.190575361
11/17/2022 6:05,1.190816402
11/17/2022 6:10,1.191000819
11/17/2022 6:15,1.190688848
11/17/2022 6:20,1.190674663
11/17/2022 6:25,1.19092989
11/17/2022 6:30,1.190532923
11/17/2022 6:35,1.19085896
11/17/2022 6:40,1.190830588
11/17/2022 6:45,1.19141233
11/17/2022 6:50,1.191469073
11/17/2022 6:55,1.191100121
11/17/2022 7:00,1.191227794
11/17/2022 7:05,1.189711332
11/17/2022 7:10,1.189584017
11/17/2022 7:15,1.189640641
11/17/2022 7:20,1.190263629
11/17/2022 7:25,1.190263629
11/17/2022 7:30,1.1913414
11/17/2022 7:35,1.192492008
11/17/2022 7:40,1.192506313
11/17/2022 7:45,1.192023039
11/17/2022 7:50,1.191923499
11/17/2022 7:55,1.193502545
11/17/2022 8:00,1.194229484
11/17/2022 8:05,1.193146586
11/17/2022 8:10,1.194657564
11/17/2022 8:15,1.194971561
11/17/2022 8:20,1.195114374
11/17/2022 8:25,1.195000052
11/17/2022 8:30,1.194529057
11/17/2022 8:35,1.193873048
11/17/2022 8:40,1.193345904
11/17/2022 8:45,1.193118095
11/17/2022 8:50,1.192292929
11/17/2022 8:55,1.192307234
